product,production_date,carton barcode,not applicable,shit
565841,12/12/2022,154.00,fgh,gdsdth
565841,13/12/2022,25468.00,fgh,gdsdth
565841,14/12/2022,132416.00,fgh,gdsdth
565841,15/12/2022,45.00,fgh,gdsdth
565841,16/12/2022,5.00,fgh,gdsdth
565841,17/12/2022,4.00,fgh,gdsdth
565841,18/12/2022,5464.00,fdgh,gdsdth
565841,19/12/2022,16.00,gdh,gdsdth
565841,20/12/2022,456.00,gdf,gdsdth
565841,21/12/2022,61616.00,dsgv,gdsdth
565841,22/12/2022,1364.00,n hn,gdsdth
565841,23/12/2022,7555.07,fgh,gdsdth
565841,24/12/2022,5374.74,fgh,gdsdth
565841,25/12/2022,3194.40,fgh,gdsdth
565841,26/12/2022,1014.06,fgh,gdsdth
565841,27/12/2022,-1166.27,fgh,gdsdth
565841,28/12/2022,-3346.61,fgh,gdsdth
565841,29/12/2022,-5526.95,fdgh,gdsdth
565841,30/12/2022,-7707.28,gdh,gdsdth
565841,31/12/2022,-9887.62,gdf,gdsdth
565841,1/01/2023,-12067.95,dsgv,gdsdth
565841,2/01/2023,-14248.29,n hn,gdsdth
565841,3/01/2023,-16428.63,fgh,gdsdth
565841,4/01/2023,-18608.96,fgh,gdsdth
565841,5/01/2023,-20789.30,fgh,gdsdth
565841,6/01/2023,-22969.64,fgh,gdsdth
565841,7/01/2023,-25149.97,fgh,gdsdth
565841,8/01/2023,-27330.31,fgh,gdsdth
565841,9/01/2023,-29510.65,fdgh,gdsdth
565841,10/01/2023,-31690.98,gdh,gdsdth
565841,11/01/2023,-33871.32,gdf,gdsdth
565841,12/01/2023,-36051.65,dsgv,gdsdth
565841,13/01/2023,-38231.99,n hn,gdsdth
565841,14/01/2023,-40412.33,fgh,gdsdth
565841,15/01/2023,-42592.66,fgh,gdsdth
565841,16/01/2023,-44773.00,fgh,gdsdth
565841,17/01/2023,-46953.34,fgh,gdsdth
565841,18/01/2023,-49133.67,fgh,gdsdth
565841,19/01/2023,-51314.01,fgh,gdsdth
565841,20/01/2023,-53494.35,fdgh,gdsdth
565841,21/01/2023,-55674.68,gdh,gdsdth
565841,22/01/2023,-57855.02,gdf,gdsdth
565841,23/01/2023,-60035.35,dsgv,gdsdth
565841,24/01/2023,-62215.69,n hn,gdsdth
565841,25/01/2023,-64396.03,fgh,gdsdth
565841,26/01/2023,-66576.36,fgh,gdsdth
565841,27/01/2023,-68756.70,fgh,gdsdth
565841,28/01/2023,-70937.04,fgh,gdsdth
565841,29/01/2023,-73117.37,fgh,gdsdth
565841,30/01/2023,-75297.71,fgh,gdsdth
565841,31/01/2023,-77478.05,fdgh,gdsdth
565841,1/02/2023,-79658.38,gdh,gdsdth
565841,2/02/2023,-81838.72,gdf,gdsdth
565841,3/02/2023,-84019.05,dsgv,gdsdth
565841,4/02/2023,-86199.39,n hn,gdsdth
565841,5/02/2023,-88379.73,fgh,gdsdth
565841,6/02/2023,-90560.06,fgh,gdsdth
565841,7/02/2023,-92740.40,fgh,gdsdth
565841,8/02/2023,-94920.74,fgh,gdsdth
565841,9/02/2023,-97101.07,fgh,gdsdth
565841,10/02/2023,-99281.41,fgh,gdsdth
565841,11/02/2023,-101461.75,fdgh,gdsdth
565841,12/02/2023,-103642.08,gdh,gdsdth
565841,13/02/2023,-105822.42,gdf,gdsdth
565841,14/02/2023,-108002.75,dsgv,gdsdth
565841,15/02/2023,-110183.09,n hn,gdsdth
565841,16/02/2023,-112363.43,fgh,gdsdth
565841,17/02/2023,-114543.76,fgh,gdsdth
565841,18/02/2023,-116724.10,fgh,gdsdth
565841,19/02/2023,-118904.44,fgh,gdsdth
565841,20/02/2023,-121084.77,fgh,gdsdth
565841,21/02/2023,-123265.11,fgh,gdsdth
565841,22/02/2023,-125445.45,fdgh,gdsdth
565841,23/02/2023,-127625.78,gdh,gdsdth
565841,24/02/2023,-129806.12,gdf,gdsdth
565841,25/02/2023,-131986.45,dsgv,gdsdth
565841,26/02/2023,-134166.79,n hn,gdsdth
565841,27/02/2023,-136347.13,fgh,gdsdth
565841,28/02/2023,-138527.46,fgh,gdsdth
565841,1/03/2023,-140707.80,fgh,gdsdth
565841,2/03/2023,-142888.14,fgh,gdsdth
565841,3/03/2023,-145068.47,fgh,gdsdth
565841,4/03/2023,-147248.81,fgh,gdsdth
565841,5/03/2023,-149429.15,fdgh,gdsdth
565841,6/03/2023,-151609.48,gdh,gdsdth
565841,7/03/2023,-153789.82,gdf,gdsdth
565841,8/03/2023,-155970.15,dsgv,gdsdth
565841,9/03/2023,-158150.49,n hn,gdsdth
565841,10/03/2023,-160330.83,fgh,gdsdth
565841,11/03/2023,-162511.16,fgh,gdsdth
565841,12/03/2023,-164691.50,fgh,gdsdth
565841,13/03/2023,-166871.84,fgh,gdsdth
565841,14/03/2023,-169052.17,fgh,gdsdth
565841,15/03/2023,-171232.51,fgh,gdsdth
565841,16/03/2023,-173412.85,fdgh,gdsdth
565841,17/03/2023,-175593.18,gdh,gdsdth
565841,18/03/2023,-177773.52,gdf,gdsdth
565841,19/03/2023,-179953.85,dsgv,gdsdth
565841,20/03/2023,-182134.19,n hn,gdsdth
